GSTIN,Invoice No,Inv Date,Product,Unit,HSN Code,Company,Batch No,Exp. Date,MRP,Qty,Purc Rate,Sale Rate,Vat %,GST Category
,00742507,20/03/2021,ABZORB POWDER,100 GM,3004,RAN,AB68177,28/06/2024,125.00,30,80.00,125.00,0.00,12% GST
,EPL/75198,20/03/2021,ABZORB POWDER,100 GM,3004,RAN,AB78653,31/07/2024,125.00,7,84.00,125.00,0.00,12% GST
,00748081,30/03/2021,ABZORB POWDER,100 GM,3004,RAN,AB68177,28/06/2024,125.00,7,82.29,125.00,0.00,12% GST
27AAHCS2250A1ZT,S/2636,05/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB70823,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/7635,11/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB70823,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/12845,19/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB70823,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/13713,19/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,17,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/14557,21/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAACE7630H1ZQ,EPL/9484,23/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79010,31/07/2024,125.00,7,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/17088,24/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/17139,26/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/17957,28/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,7,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/18501,28/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,20,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/19689,29/04/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,18,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/20372,04/05/2021,ABZORB POWDER,100 GM,3004,RAN,AB79007,31/07/2024,125.00,38,89.29,125.00,12.00,12% GST
27AAHCS2250A1ZT,S/20372,04/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0001A,31/12/2024,135.00,22,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/21981,04/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0001A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/22592,05/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0001A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/22676,07/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0001A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/23862,08/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0001A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/25888,12/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/27092,15/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/28259,18/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/29266,21/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/29877,21/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/30474,21/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/31680,25/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0083A,31/12/2024,135.00,27,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/31680,25/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0117A,31/12/2024,135.00,13,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/32389,27/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0117A,31/12/2024,135.00,7,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/32890,27/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0117A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
27AAHCS2250A1ZT,S/33573,27/05/2021,ABZORB POWDER,100 GM,3004,RAN,SXC0117A,31/12/2024,135.00,20,96.43,135.00,12.00,12% GST
,V/8302,17/10/2020,ACCUCHEK ACTIVE,25 STRIPS,3004,ROCHE,26021923,28/02/2022,749.00,1,660.94,749.00,0.00,12% GST
,IDB20283626,18/01/2021,ACE PROXYVON CR,10 TAB,3004,WOCK,PPQBQ05,01/03/4022,118.50,2,83.60,118.50,0.00,12% GST
,EPL/6253,24/08/2020,ACE REVELOL 25 / 2.5,10 TAB,3004,IPC,DFR050001R,31/08/2021,147.00,1,115.25,147.00,0.00,12% GST
,EPL/6253,24/08/2020,ACE REVELOL 50 / 5,10 TAB,3004,IPC,DFT059006R,31/12/2020,236.00,1,185.06,236.00,0.00,12% GST
,R002408,22/10/2020,ACEMIZ MR,10 TAB,3004,LUPIN,041B20PT,28/01/2022,90.70,3,23.02,90.70,0.00,12% GST
,EPL/63831,15/02/2021,ACENAC MR,10 TAB,3004,MED,E01123,31/07/2022,199.00,1,156.02,199.00,0.00,12% GST
,R/9449,19/08/2020,ACETIC ACID,100 ML,3004,PCH,375,/  /,28.00,1,16.74,28.00,0.00,12% GST
,R/19693,18/12/2020,ACETONE PURE,100 ML,2106,PCH,632,/  /,40.00,3,25.22,40.00,0.00,18% GST
,R/19693,18/12/2020,ACETONE PURE,100 ML,2106,PCH,231,/  /,17.00,3,10.64,17.00,0.00,18% GST
,A/22223,06/02/2021,ACETONE PURE,100 ML,2106,PCH,650,/  /,40.00,3,25.28,40.00,0.00,18% GST
,A/22223,06/02/2021,ACETONE PURE,400 ML,2106,PCH,732,/  /,118.00,1,85.22,118.00,0.00,18% GST
27AISPG3978P1Z6,R/1660,16/04/2021,ACETONE PURE,100 ML,2106,PCH,632,/  /,40.00,1,23.75,40.00,18.00,18% GST
27AISPG3978P1Z6,R/1660,16/04/2021,ACETONE PURE,100 ML,2106,PCH,231,/  /,17.00,1,10.02,17.00,18.00,18% GST
27AAACE7630H1ZQ,EPL/19165,25/05/2021,ACILOC 150,30 TAB,3004,CADIL,LD21044,30/09/2023,23.99,10,17.13,23.99,12.00,12% GST
27AAHCS2250A1ZT,S/22185,05/05/2021,ACINIL O SYRUP,120 ML,3004,VERIT,AOV20N34,30/11/2023,93.00,3,66.43,93.00,12.00,12% GST
,00183272,04/03/2021,ACNESOL GEL,20 GM,3004,SYS,ACA06,28/09/2022,80.00,1,62.75,80.00,0.00,5% GST
,00183272,06/03/2021,ACNESOL GEL,20 GM,3004,SYS,ACA06,28/09/2022,80.00,4,62.75,80.00,0.00,5% GST
,00693815,24/12/2020,ACNESTAR GEL,15 GM,3004,LIFES,K2AIT030,28/05/2022,100.00,6,64.68,100.00,0.00,12% GST
,A/23059,19/02/2021,ACNIL SOAP,75 GM,2106,MAI,A 66,/  /,75.00,2,62.48,75.00,0.00,18% GST
27AAACE7630H1ZQ,EPL/16906,15/05/2021,ACOTRUST 100,10 TAB,3004,DRR,U002009,31/10/2022,217.75,1,155.54,217.75,12.00,12% GST
,00154418,21/08/2020,ACT NVP,10 TAB,3004,AKUME,XDFW13,28/06/2021,70.00,1,54.88,70.00,0.00,12% GST
,RA/0509/20-21,08/09/2020,ACTISAFE DISINFECTANT SPRAY,1,3304,KAMRO,EEEE,30/11/2023,159.00,4,144.00,159.00,0.00,18% GST
,IDB20353677,16/03/2021,ACULAR LS EYE DROPS,5 ML,3004,ALL,84849,01/11/4021,117.20,1,92.00,117.20,0.00,12% GST
,IDB20353677,16/03/2021,ACULAR LS EYE DROPS,5 ML,3004,ALL,86064,01/01/4022,117.20,1,92.00,117.20,0.00,12% GST
27AAACE7630H1ZQ,EPL/2160,06/04/2021,ACUTRET 20,10 TAB,3004,IPC,ACSG-20008,31/05/2022,262.80,3,187.71,262.80,12.00,12% GST
,EPL/57249,25/01/2021,ADAFERIN GEL,15 GM,3004,GAL,9051281,31/10/2022,259.00,1,203.16,259.00,0.00,12% GST
,R/9460,19/08/2020,ADDYZOA,20 CAP,3004,CHA,CAD583,/  /,170.00,1,125.23,170.00,0.00,12% GST
,R/19066,11/12/2020,ADDYZOA,20 CAP,3004,CHA,CAD702,/  /,170.00,2,125.24,170.00,0.00,12% GST
,RDD/22290,30/12/2020,ADDYZOA,20 CAP,3004,CHA,CAD720,31/05/2023,178.00,1,133.75,178.00,0.00,12% GST
,S/132973,25/03/2021,ADGAIN PLUS CAP,10 CAP,3004,CIPLA,AGC20003,31/05/2022,565.00,4,312.09,565.00,0.00,12% GST
,RDD/10093,03/10/2020,ADHESIVE TAPE,2.5 CM,3004,FLPHA,H925,31/12/2022,16.00,2,10.63,16.00,0.00,12% GST
,RDD/10093,03/10/2020,ADHESIVE TAPE,5 CM,3004,SUR,H925,31/12/2022,40.00,2,28.20,40.00,0.00,12% GST
,RDD/10093,03/10/2020,ADHESIVE TAPE,7.5 CM,3004,FLPHA,H925,31/12/2022,20.00,2,13.16,20.00,0.00,12% GST
,R002775,11/11/2020,ADHESIVE TAPE,5 CM,3004,SUR,H-197,28/05/2023,16.00,5,12.32,16.00,0.00,12% GST
,S/85072,02/01/2021,AEROCORT FORTE ROTACAPS,30 CAP,3004,CIPLA,SA02507,31/05/2022,86.51,2,67.16,86.51,0.00,12% GST
,IDB20264517,01/01/2021,AEROCORT FORTE ROTACAPS,30 CAP,3004,CIPLA,SA02507,01/05/4022,86.51,2,67.90,86.51,0.00,12% GST
27AAHCS2250A1ZT,S/32337,25/05/2021,AEROCORT FORTE ROTACAPS,30 CAP,3004,CIPLA,SA10642,31/01/2023,86.51,2,61.79,86.51,12.00,12% GST
27AAHCR3491G1Z5,RDD/1851,13/04/2021,AEROCORT INHALER,UNIT,3004,CIPLA,SA04134,31/10/2022,226.27,1,151.28,226.27,12.00,12% GST
27AADCN5894P1ZJ,IDB2132110,26/04/2021,AEROCORT INHALER,UNIT,3004,CIPLA,SA10194,01/11/4022,226.27,1,161.62,226.27,12.00,12% GST
,S/112398,18/02/2021,AEROCORT ROTACAPS,30 CAP,3004,CIPLA,SA04228,30/11/2022,47.26,2,36.69,47.26,0.00,12% GST
,S/136269,31/03/2021,AEROCORT ROTACAPS,30 CAP,3004,CIPLA,SA10369,31/12/2022,47.26,5,36.68,47.26,0.00,12% GST
27AAHCS2250A1ZT,S/9955,15/04/2021,AEROCORT ROTACAPS,30 CAP,3004,CIPLA,SA10369,31/12/2022,47.26,1,33.76,47.26,12.00,12% GST
27AAHCS2250A1ZT,S/9955,15/04/2021,AEROCORT ROTACAPS,30 CAP,3004,CIPLA,SA10440,31/01/2023,47.26,3,33.76,47.26,12.00,12% GST
,00154421,21/08/2020,AF 150,TAB,3004,SYS,HAO040120,28/12/2021,10.30,1,8.07,10.30,0.00,12% GST
,00690743,18/12/2020,AFOGLIP M 500,10 TAB,3004,TORRE,27200031,30/04/2022,141.20,2,109.59,141.20,0.00,12% GST
27AAACE7630H1ZQ,EPL/16427,13/05/2021,AFOGLIP M 500,10 TAB,3004,TORRE,50200169,31/10/2022,232.80,2,166.29,232.80,12.00,12% GST
,00691476,19/12/2020,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G115,31/05/2022,631.90,2,436.36,631.90,0.00,5% GST
,RDD/21771,25/12/2020,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G126,31/05/2022,434.10,1,289.00,434.10,0.00,5% GST
,RDD/34597,23/03/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G197,31/08/2022,252.75,6,189.29,252.75,0.00,18% GST
,00028348,27/03/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G178,28/07/2022,434.10,4,296.67,434.10,0.00,5% GST
27AAHCG7843H1ZA,GTEHHY/220004359,06/04/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G172,01/06/2022,434.10,4,276.65,434.10,5.00,5% GST
27AAHCR3491G1Z5,RDD/2530,19/04/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G220,31/08/2022,434.10,10,275.46,434.10,5.00,5% GST
27AAACS5481J1Z2,3084,19/04/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G178,31/07/2022,434.10,4,294.31,434.10,5.00,5% GST
27AAJFN8418J1ZT,S/1165,29/04/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G185,31/07/2022,434.10,2,294.31,434.10,5.00,5% GST
27AAJFN8418J1ZT,S/1165,29/04/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G202,31/08/2022,252.75,6,171.36,252.75,18.00,18% GST
27AAJFN8418J1ZT,S/26743,29/04/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G203,31/08/2022,252.75,2,171.36,252.75,18.00,18% GST
27AAJFN8418J1ZT,S/26743,29/04/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G046,31/01/2022,252.75,7,171.36,252.75,18.00,18% GST
27AAJFN8418J1ZT,S/38026,04/05/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G046,31/01/2022,252.75,3,171.36,252.75,18.00,18% GST
27AAHCG7843H1ZA,GTEHHY/220024083,07/05/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G185,01/07/2022,434.10,4,294.31,434.10,5.00,5% GST
27AAHCR3491G1Z5,RDD/6287,15/05/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G221,31/08/2022,434.10,8,275.46,434.10,5.00,5% GST
27AAJFN8418J1ZT,S/55854,25/05/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G225,30/09/2022,434.10,8,294.31,434.10,5.00,5% GST
27AAJFN8418J1ZT,S/56327,25/05/2021,AHAGLOW ADVANCED,50 GM,3004,TORRE,UFT9G205,31/08/2022,252.75,9,171.36,252.75,18.00,18% GST
27AAJFN8418J1ZT,S/60047,27/05/2021,AHAGLOW ADVANCED,100 GM,3004,TORRE,UFT9G225,30/09/2022,434.10,14,294.31,434.10,5.00,5% GST
,IDB20317434,13/02/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G159,01/06/4022,434.10,2,340.50,434.10,0.00,18% GST
,00737276,12/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G171,28/06/2022,434.10,2,333.41,434.10,0.00,18% GST
,EPL/71911,12/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G166,30/06/2022,434.10,1,340.27,434.10,0.00,18% GST
,00737711,12/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G171,28/06/2022,434.10,1,333.41,434.10,0.00,18% GST
,00022999,12/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G177,28/07/2022,434.10,8,333.38,434.10,0.00,18% GST
,00738403,13/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G171,28/06/2022,434.10,2,333.39,434.10,0.00,18% GST
,00184888,13/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G158,28/06/2022,434.10,2,340.34,434.10,0.00,18% GST
,00739041,16/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G171,28/06/2022,434.10,4,333.40,434.10,0.00,18% GST
,IDB20353132,16/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G171,01/06/4022,434.10,3,340.33,434.10,0.00,18% GST
,IDB20353132,16/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G172,01/06/4022,434.10,3,340.33,434.10,0.00,18% GST
,EPL/74451,19/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G166,30/06/2022,434.10,2,340.44,434.10,0.00,18% GST
,EPL/74841,20/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G177,31/07/2022,434.10,4,340.39,434.10,0.00,18% GST
,EPL/75225,20/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G177,31/07/2022,434.10,4,340.25,434.10,0.00,18% GST
,00743969,23/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,31/07/2022,434.10,6,333.40,434.10,0.00,18% GST
,00744654,25/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,31/07/2022,434.10,8,333.41,434.10,0.00,18% GST
,00186801,25/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,28/07/2022,434.10,3,340.31,434.10,0.00,18% GST
,00745994,26/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,31/07/2022,434.10,5,333.41,434.10,0.00,18% GST
,00746698,27/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G185,31/07/2022,434.10,4,333.40,434.10,0.00,18% GST
,00747614,28/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G185,31/07/2022,434.10,6,333.44,434.10,0.00,18% GST
,00748081,30/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G185,31/07/2022,434.10,7,333.40,434.10,0.00,18% GST
,IDB20374183,31/03/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,01/07/4022,434.10,2,340.44,434.10,0.00,18% GST
27AAGFA4541G1ZO,00187831,01/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,28/07/2022,434.10,1,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00187831,01/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G211,28/08/2022,434.10,1,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00751155,05/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G211,31/08/2022,434.10,12,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00188468,05/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G211,28/08/2022,434.10,10,294.31,434.10,18.00,18% GST
27AECFS9299F1ZF,00031466,07/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G185,28/07/2022,434.10,4,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00757986,11/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G212,31/08/2022,434.10,4,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00189807,12/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G211,28/08/2022,434.10,2,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00760618,15/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G212,31/08/2022,434.10,8,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00761367,16/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G212,31/08/2022,434.10,8,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00191144,19/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G212,28/08/2022,434.10,20,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00191403,19/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G211,28/08/2022,434.10,3,294.31,434.10,18.00,18% GST
27AADCN5894P1ZJ,IDB2126219,21/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G178,01/07/4022,434.10,3,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00764838,21/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G220,31/08/2022,434.10,10,294.31,434.10,18.00,18% GST
27AAFFM7699Q1Z3,00764968,22/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G220,31/08/2022,434.10,6,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00191969,22/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G220,28/08/2022,434.10,8,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00192198,23/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G221,31/08/2022,434.10,10,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00192222,24/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G221,31/08/2022,434.10,4,294.31,434.10,18.00,18% GST
27AAGFA4541G1ZO,00192466,26/04/2021,AHAGLOW FACE WASH,100 ML,2106,TORRE,UFT9G221,31/08/2022,434.10,13,294.31,434.10,18.00,18% GST
